,COUNTRY,REGION,CATEGORY,MEASURE,COMMENTS,SOURCE,ENTRY_DATE,ISO_ALP_2
0,Afghanistan,Asia,Public health measures,health screenings in airports and border crossings,Unknown,ministry of health,2020-03-14,AF
1,Afghanistan,Asia,Public health measures,introduction of isolation and quarantine policies,Unknown,ministry of health,2020-03-14,AF
2,Afghanistan,Asia,Public health measures,awareness campaigns,Unknown,ministry of health,2020-03-14,AF
3,Afghanistan,Asia,Governance and socio-economic measures,emergency administrative structures activated or established,Unknown,ministry of health,2020-03-14,AF
4,Afghanistan,Asia,Social distancing,limit public gatherings,Nevruz festival cancelled,aa,2020-03-14,AF
5,Afghanistan,Asia,Movement restrictions,Border closure,Closure of borders with Iran,guardian,2020-03-14,AF
6,Bhutan,Asia,Movement restrictions,Border closure,Closure of borders to foreign tourist,ministry of foreign affairs - italy,2020-03-14,BT
7,Afghanistan,Asia,Social distancing,Schools closure,Unknown,ocha,2020-03-14,AF
8,Antigua and Barbuda,Americas,Public health measures,awareness campaigns,Sanitation and hygiene recommendations,prime minister's statement,2020-03-14,AG
9,Afghanistan,Asia,Social distancing,limit public gatherings,all public gatherings banned,ocha,2020-03-14,AF
10,Bhutan,Asia,Movement restrictions,domestic travel restrictions,In-country and out-country travel restrictions,ministry of agriculture and forest,2020-03-14,BT
11,Afghanistan,Asia,Public health measures,strengthening the public health system,Unknown,ocha,2020-03-14,AF
12,Bolivia,Americas,Movement restrictions,international flights suspension,In and for Europe,ministry of foreign affairs - francce,2020-03-14,BO
13,Bolivia,Americas,Public health measures,health screenings in airports and border crossings,Unknown,ministry of foreign affairs - francce,2020-03-14,BO
14,Bolivia,Americas,Social distancing,limit public gatherings,More than 1000 people,ministry of foreign affairs - francce,2020-03-14,BO
15,Bosnia and Herzegovina,Europe,Public health measures,introduction of isolation and quarantine policies,"People coming from France, Germany, Spain",ministry of foreign affairs - francce,2020-03-14,BA
16,Afghanistan,Asia,Governance and socio-economic measures,limit product imports/exports,Food imports from Iran and Afghanistan has been limited,us embassy ,2020-03-14,AF
17,Bosnia and Herzegovina,Europe,Movement restrictions,visa restrictions,"People coming from Cina, Italy, South Korea and Iran",ministry of foreign affairs - francce,2020-03-14,BA
18,Bosnia and Herzegovina,Europe,Social distancing,limit public gatherings,Unknown,ministry of foreign affairs - francce,2020-03-14,BA
19,Bosnia and Herzegovina,Europe,Public health measures,introduction of isolation and quarantine policies,Unknown,ministry of foreign affairs - francce,2020-03-14,BA
20,Bosnia and Herzegovina,Europe,Social distancing,Schools closure,Unknown,ministry of foreign affairs - francce,2020-03-14,BA
21,Bosnia and Herzegovina,Europe,Social distancing,Public services closure,Interdiction to visits to hospitals and old people retreats,ministry of foreign affairs - francce,2020-03-14,BA
22,Afghanistan,Asia,Movement restrictions,Border checks,All China and Iran nationals,us embassy ,2020-03-14,AF
23,Argentina,Americas,Movement restrictions,international flights suspension,Flights from countries with COVID transmissions.,ministry of foreign affairs - france,2020-03-14,AR
24,Argentina,Americas,Movement restrictions,visa restrictions,For long term ,ministry of foreign affairs - francce,2020-03-14,AR
25,Argentina,Americas,Public health measures,introduction of isolation and quarantine policies,"From Europe, UK, USA, South Korea, Japan, China and Iran, for 14 days",ministry of foreign affairs - francce,2020-03-14,AR
26,Albania,Europe,Movement restrictions,international flights suspension,Italy until 3rd April,tirana times 09/03/3030,2020-03-14,AL
27,Albania,Europe,Movement restrictions,domestic travel restrictions,vehicle movement restrictions,us embassy ,2020-03-14,AL
28,Albania,Europe,Social distancing,Schools closure,"All schools are closed from March 10, 2020 until March 23, 2020",us embassy ,2020-03-14,AL
29,Albania,Europe,Social distancing,limit public gatherings,Until 3rd April,us embassy ,2020-03-14,AL
30,Albania,Europe,Movement restrictions,checkpoints within the country,People who have traveled to WHO high-risk regions for COVID-19 in the past 14 days,us embassy ,2020-03-14,AL
31,Albania,Europe,Public health measures,introduction of isolation and quarantine policies,All people entering the country for 15 days,us embassy ,2020-03-14,AL
32,Nepal,Asia,Movement restrictions,visa restrictions,Foreign tourists without negative covid-19 test from past 7 days,ministry of home affairs,2020-03-14,NP
33,Albania,Europe,Governance and socio-economic measures,economic measures,Stopped loan payments for 3 months (until 31.5.2020 as officially ordered on 17.3.2020) for all albanians ,balkaninsight,2020-03-14,AL
34,Albania,Europe,Public health measures,awareness campaigns,Unknown,us embassy ,2020-03-14,AL
35,Algeria,Africa,Public health measures,awareness campaigns,Unknown,xinhuanet,2020-03-14,DZ
36,Algeria,Africa,Social distancing,Schools closure,until 5th April,us embassy ,2020-03-14,DZ
37,Bangladesh,Asia,Public health measures,introduction of isolation and quarantine policies,"14 days self-quarantine, foreign nationals arriving from China, Italy, Iran or South Korea",uk government travel advice,2020-03-20,BD
38,Algeria,Africa,Movement restrictions,Border checks,Entry denied to people with symptoms,us embassy ,2020-03-14,DZ
39,Algeria,Africa,Social distancing,limit public gatherings,Unknown,qantara 13/03/2020,2020-03-14,DZ
40,Angola,Africa,Public health measures,health screenings in airports and border crossings,"China, South Korea, Iran, and Italy",us embassy ,2020-03-14,AO
41,Angola,Africa,Public health measures,introduction of isolation and quarantine policies,any nationality who presents with symptoms or who has traveled to China since the start of the outbreak,us embassy ,2020-03-14,AO
42,Nepal,Asia,Social distancing,limit public gatherings,Cancelation of large public events,nepalitimes,2020-03-14,NP
43,Chile,Americas,Public health measures,introduction of isolation and quarantine policies,Passengers from Spain or Italy,ministry of foreign affairs - france,2020-03-14,CL
44,Uruguay,Americas,Public health measures,introduction of isolation and quarantine policies,"People from France, Spain, Italy, Germany, Singappor, South Korea, Iran, China",ministry of foreign affairs - france,2020-03-14,UY
45,Paraguay,Americas,Social distancing,limit public gatherings,Large public and private events are suspended.,ministry of foreign affairs - france,2020-03-14,PY
46,Paraguay,Americas,Movement restrictions,international flights suspension,Flights to Madrid suspended,ministry of foreign affairs - france,2020-03-14,PY
47,Angola,Africa,Public health measures,awareness campaigns,"The National Molecular Biology Laboratory, installed in Luanda, more than three years ago, was authorized by the World Health Organization (WHO) to carry out tests on the new Coronavirus (Covid-19)",all africa,2020-03-14,AO
48,Peru,Americas,Public health measures,introduction of isolation and quarantine policies,"Self quarantine for people who transited France, Italy, Spain and China",ministry of foreign affairs - france,2020-03-14,PE
49,Azerbaijan,Asia,Public health measures,introduction of isolation and quarantine policies,international travelers with symptoms,US DEPARTMENT of STATE ,2020-03-14,AZ
50,Peru,Americas,Movement restrictions,international flights suspension,From Europe and Asia,ministry of foreign affairs - france,2020-03-14,PE
51,Brazil,Americas,Public health measures,health screenings in airports and border crossings,People from risky countries,ministry of foreign affairs - france,2020-03-14,BR
52,Portugal,Europe,Movement restrictions,international flights suspension,Flights from Portugal to Italy suspended,ministry of foreign affairs - italy,2020-03-14,PT
53,Azerbaijan,Asia,Movement restrictions,visa restrictions,temporarily suspended the issuance of e-visas. ,us embassy ,2020-03-14,AZ
54,Nepal,Asia,Public health measures,introduction of isolation and quarantine policies,"Foreigners arriving in Nepal with valid business, study, work or offical visa (14 days)",ministry of home affairs,2020-03-14,NP
55,Nepal,Asia,Movement restrictions,Border closure,Closure of all land boarders to foreigners,ministry of home affairs,2020-03-14,NP
56,Brazil,Americas,Public health measures,introduction of isolation and quarantine policies,7 days quarantine for international travellers - 14 for people with syntoms,globo,2020-03-14,BR
57,Azerbaijan,Asia,Public health measures,health screenings in airports and border crossings,Unknown,us embassy ,2020-03-14,AZ
58,Azerbaijan,Asia,Movement restrictions,Border closure,Iran and Georgia,caspian news,2020-03-14,AZ
59,Ecuador,Americas,Public health measures,introduction of isolation and quarantine policies,"Self quarantine for 14 days from people from China, Spain, France, Iran, Germany, South Korea, Italy. / Quarantine in the city of arrival.",ministry of foreign affairs - france,2020-03-14,EC
60,Colombia,Americas,Public health measures,introduction of isolation and quarantine policies,"Quarantine for 14 days to travellers from Italy, France, Spain and China.",ministry of foreing affairs - italy,2020-03-14,CO
61,Armenia,Asia,Public health measures,health screenings in airports and border crossings,New arrivals also fill out information forms,government of the republic of armenia,2020-03-14,AM
62,Colombia,Americas,Movement restrictions,additional health/documents requirements upon arrival,"People from France, Spain, Italy, Germany, Singappor, South Korea, Iran, China. Madndarory healt insurance, and additional rules for the first 14 days in the country.",ministry of foreing affairs - italy,2020-03-14,CO
63,Armenia,Asia,Movement restrictions,Border closure,iran for 2 weeks,us embassy ,2020-03-14,AM
64,Armenia,Asia,Movement restrictions,visa restrictions,"Iran, China",iata,2020-03-14,AM
65,Armenia,Asia,Movement restrictions,Border closure,"Georgia, two weeks closure (likely extended) *citizens may return to respected countries and some cargo permitted to cross ",us embassy ,2020-03-14,AM
