,COUNTRY,REGION,CATEGORY,MEASURE,COMMENTS,SOURCE,ENTRY_DATE,ISO_ALP_2,CONFIRMED,DEATHS,POPULATION
0,Afghanistan,Asia,Public health measures,health screenings in airports and border crossings,Unknown,ministry of health,2020-03-14,AF,11,0,29121286
1,Afghanistan,Asia,Public health measures,introduction of isolation and quarantine policies,Unknown,ministry of health,2020-03-14,AF,11,0,29121286
2,Afghanistan,Asia,Public health measures,awareness campaigns,Unknown,ministry of health,2020-03-14,AF,11,0,29121286
3,Afghanistan,Asia,Governance and socio-economic measures,emergency administrative structures activated or established,Unknown,ministry of health,2020-03-14,AF,11,0,29121286
4,Afghanistan,Asia,Social distancing,limit public gatherings,Nevruz festival cancelled,aa,2020-03-14,AF,11,0,29121286
5,Afghanistan,Asia,Movement restrictions,Border closure,Closure of borders with Iran,guardian,2020-03-14,AF,11,0,29121286
6,Afghanistan,Asia,Social distancing,Schools closure,Unknown,ocha,2020-03-14,AF,11,0,29121286
7,Afghanistan,Asia,Social distancing,limit public gatherings,all public gatherings banned,ocha,2020-03-14,AF,11,0,29121286
8,Afghanistan,Asia,Public health measures,strengthening the public health system,Unknown,ocha,2020-03-14,AF,11,0,29121286
9,Afghanistan,Asia,Governance and socio-economic measures,limit product imports/exports,Food imports from Iran and Afghanistan has been limited,us embassy ,2020-03-14,AF,11,0,29121286
10,Afghanistan,Asia,Movement restrictions,Border checks,All China and Iran nationals,us embassy ,2020-03-14,AF,11,0,29121286
11,Bolivia,Americas,Movement restrictions,international flights suspension,In and for Europe,ministry of foreign affairs - francce,2020-03-14,BO,10,0,9947418
12,Bolivia,Americas,Public health measures,health screenings in airports and border crossings,Unknown,ministry of foreign affairs - francce,2020-03-14,BO,10,0,9947418
13,Bolivia,Americas,Social distancing,limit public gatherings,More than 1000 people,ministry of foreign affairs - francce,2020-03-14,BO,10,0,9947418
14,Bosnia and Herzegovina,Europe,Public health measures,introduction of isolation and quarantine policies,"People coming from France, Germany, Spain",ministry of foreign affairs - francce,2020-03-14,BA,18,0,4590000
15,Bosnia and Herzegovina,Europe,Movement restrictions,visa restrictions,"People coming from Cina, Italy, South Korea and Iran",ministry of foreign affairs - francce,2020-03-14,BA,18,0,4590000
16,Bosnia and Herzegovina,Europe,Social distancing,limit public gatherings,Unknown,ministry of foreign affairs - francce,2020-03-14,BA,18,0,4590000
17,Bosnia and Herzegovina,Europe,Public health measures,introduction of isolation and quarantine policies,Unknown,ministry of foreign affairs - francce,2020-03-14,BA,18,0,4590000
18,Bosnia and Herzegovina,Europe,Social distancing,Schools closure,Unknown,ministry of foreign affairs - francce,2020-03-14,BA,18,0,4590000
19,Bosnia and Herzegovina,Europe,Social distancing,Public services closure,Interdiction to visits to hospitals and old people retreats,ministry of foreign affairs - francce,2020-03-14,BA,18,0,4590000
20,Argentina,Americas,Movement restrictions,international flights suspension,Flights from countries with COVID transmissions.,ministry of foreign affairs - france,2020-03-14,AR,34,2,41343201
21,Argentina,Americas,Movement restrictions,visa restrictions,For long term ,ministry of foreign affairs - francce,2020-03-14,AR,34,2,41343201
22,Argentina,Americas,Public health measures,introduction of isolation and quarantine policies,"From Europe, UK, USA, South Korea, Japan, China and Iran, for 14 days",ministry of foreign affairs - francce,2020-03-14,AR,34,2,41343201
23,Albania,Europe,Movement restrictions,international flights suspension,Italy until 3rd April,tirana times 09/03/3030,2020-03-14,AL,38,1,2986952
24,Albania,Europe,Movement restrictions,domestic travel restrictions,vehicle movement restrictions,us embassy ,2020-03-14,AL,38,1,2986952
25,Albania,Europe,Social distancing,Schools closure,"All schools are closed from March 10, 2020 until March 23, 2020",us embassy ,2020-03-14,AL,38,1,2986952
26,Albania,Europe,Social distancing,limit public gatherings,Until 3rd April,us embassy ,2020-03-14,AL,38,1,2986952
27,Albania,Europe,Movement restrictions,checkpoints within the country,People who have traveled to WHO high-risk regions for COVID-19 in the past 14 days,us embassy ,2020-03-14,AL,38,1,2986952
28,Albania,Europe,Public health measures,introduction of isolation and quarantine policies,All people entering the country for 15 days,us embassy ,2020-03-14,AL,38,1,2986952
29,Albania,Europe,Governance and socio-economic measures,economic measures,Stopped loan payments for 3 months (until 31.5.2020 as officially ordered on 17.3.2020) for all albanians ,balkaninsight,2020-03-14,AL,38,1,2986952
30,Albania,Europe,Public health measures,awareness campaigns,Unknown,us embassy ,2020-03-14,AL,38,1,2986952
31,Algeria,Africa,Public health measures,awareness campaigns,Unknown,xinhuanet,2020-03-14,DZ,37,3,34586184
32,Algeria,Africa,Social distancing,Schools closure,until 5th April,us embassy ,2020-03-14,DZ,37,3,34586184
33,Algeria,Africa,Movement restrictions,Border checks,Entry denied to people with symptoms,us embassy ,2020-03-14,DZ,37,3,34586184
34,Algeria,Africa,Social distancing,limit public gatherings,Unknown,qantara 13/03/2020,2020-03-14,DZ,37,3,34586184
